产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
非凡资产管理翠竹周期开放9W周五尊享04款,FSAB090512,0.00%,"1,000,000.00",63
非凡资产管理翠竹5W理财产品周一尊享04款,FSAB13007D,0.00%,"1,000,000.00",35
非凡资产管理翠竹周期开放9W周五高端04款,FSAB090511,0.00%,"200,000.00",63
非凡资产管理翠竹周期开放9W周五普通04款,FSAB090510,0.00%,"50,000.00",63
非凡资产管理翠竹5W理财产品周一高端04款,FSAB13007B,0.00%,"200,000.00",35
非凡资产管理翠竹周期开放26W周一尊享06款,FSAB260118,0.00%,"1,000,000.00",182
非凡资产管理翠竹5W理财产品周一普通04款,FSAB13007A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放26W周一普通06款,FSAB260116,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周一高端06款,FSAB260117,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周一高端05款,FSAB260114,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周一尊享05款,FSAB260115,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周一尊享04款,FSAB260112,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周一普通05款,FSAB260113,0.00%,"50,000.00",182
非凡资产管理翠竹2W理财产品周四尊享02款,FSAB12039D,4.30%,"1,000,000.00",14
非凡资产管理瑞赢3M周四12普通款,FSAE17623A,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放26W周一普通04款,FSAB260110,0.00%,"50,000.00",182
